"Path","FirstSeenIn","OriginalLink","CheckedPaths","WaybackAvailable","WaybackUrl","WaybackTimestamp"
"misc/tableheader.js","content\training-brochure.html","../misc/tableheader.js","misc/tableheader.js; misc/tableheader.js.html; misc/tableheader.js.htm; misc/tableheader.js/index.html","False",,
"sites/all/themes/zen/zen/ie.css","content\one-day-invitation-wsart-wait.html","../sites/all/themes/zen/zen/ie.css","sites/all/themes/zen/zen/ie.css; sites/all/themes/zen/zen/ie.css.html; sites/all/themes/zen/zen/ie.css.htm; sites/all/themes/zen/zen/ie.css/index.html","False",,
